time,oveTSet_u,reaTZon_y
1970-01-24 09:37:00,288.15,293.3251802023418
1970-01-24 09:37:30,288.15,293.3221784269592
1970-01-24 09:38:00,288.15,293.319186110659
1970-01-24 09:38:30,288.15,293.3162031417823
1970-01-24 09:39:00,288.15,293.31322940696737
1970-01-24 09:39:30,288.15,293.31026479113086
1970-01-24 09:40:00,288.15,293.3073091774481
1970-01-24 09:40:30,288.15,293.3043624473307
1970-01-24 09:41:00,288.15,293.3014244804065
1970-01-24 09:41:30,288.15,293.298495154499
1970-01-24 09:42:00,288.15,293.29557434560854
1970-01-24 09:42:30,288.15,293.29266192789567
1970-01-24 09:43:00,288.15,293.2897577736653
1970-01-24 09:43:30,288.15,293.28686175335446
1970-01-24 09:44:00,288.15,293.28397373552014
1970-01-24 09:44:30,288.15,293.28109358683093
1970-01-24 09:45:00,288.15,293.27822117205966
1970-01-24 09:45:30,288.15,293.275356354078
1970-01-24 09:46:00,288.15,293.2724989938532
1970-01-24 09:46:30,288.15,293.26964895044625
1970-01-24 09:47:00,288.15,293.26680608101174
1970-01-24 09:47:30,288.15,293.2639702407994
1970-01-24 09:48:00,288.15,293.2611412831563
1970-01-24 09:48:30,288.15,293.2583190595318
1970-01-24 09:49:00,288.15,293.2555034194822
1970-01-24 09:49:30,288.15,293.25269421067753
1970-01-24 09:50:00,288.15,293.249891278909
1970-01-24 09:50:30,288.15,293.24709446809777
1970-01-24 09:51:00,288.15,293.2443036203043
1970-01-24 09:51:30,288.15,293.24151857573924
1970-01-24 09:52:00,288.15,293.2387391727745
1970-01-24 09:52:30,288.15,293.23596524795596
1970-01-24 09:53:00,288.15,293.23319663601615
1970-01-24 09:53:30,288.15,293.2304331698887
1970-01-24 09:54:00,288.15,293.2276746807231
1970-01-24 09:54:30,288.15,293.22492099789986
1970-01-24 09:55:00,288.15,293.2221719490471
1970-01-24 09:55:30,288.15,293.2194273600578
1970-01-24 09:56:00,288.15,293.21668705510683
1970-01-24 09:56:30,288.15,293.21395085666984
1970-01-24 09:57:00,288.15,293.2112185855419
1970-01-24 09:57:30,288.15,293.20849006085643
1970-01-24 09:58:00,288.15,293.2057651001049
1970-01-24 09:58:30,288.15,293.2030435191563
1970-01-24 09:59:00,288.15,293.2003251322768
1970-01-24 09:59:30,288.15,293.1976097521482
1970-01-24 10:00:00,288.15,293.1948971898865
1970-01-24 10:00:30,288.15,293.1921884028891
1970-01-24 10:01:00,288.15,293.18948168350477
1970-01-24 10:01:30,288.15,293.1867781129714
1970-01-24 10:02:00,288.15,293.1840779925365
1970-01-24 10:02:30,288.15,293.1813815446117
1970-01-24 10:03:00,288.15,293.1786889761578
1970-01-24 10:03:30,288.15,293.1760004770765
1970-01-24 10:04:00,288.15,293.1733162205498
1970-01-24 10:04:30,288.15,293.1706363639714
1970-01-24 10:05:00,288.15,293.1679610500014
1970-01-24 10:05:30,288.15,293.1652904075819
1970-01-24 10:06:00,288.15,293.1626245528613
1970-01-24 10:06:30,288.15,293.15996359001133
1970-01-24 10:07:00,288.15,293.1573076119303
1970-01-24 10:07:30,288.15,293.1546567008272
1970-01-24 10:08:00,288.15,293.15201092867176
1970-01-24 10:08:30,288.15,293.1493703574848
1970-01-24 10:09:00,288.15,293.14673503941185
1970-01-24 10:09:30,288.15,293.14410501645693
1970-01-24 10:10:00,288.15,293.14148031957296
1970-01-24 10:10:30,288.15,293.1388609661376
1970-01-24 10:11:00,288.15,293.1362469496926
1970-01-24 10:11:30,288.15,293.1336382681692
1970-01-24 10:12:00,288.15,293.1310349810028
1970-01-24 10:12:30,288.15,293.1284371244481
1970-01-24 10:13:00,288.15,293.12584473658444
1970-01-24 10:13:30,288.15,293.12325786762926
